AUTHOR,BORN-DIED,TITLE,TECHNIQUE,LOCATION,URL,TYPE,FORM,SCHOOL,TIMEFRAME,,
"ARCHITECT, Dutch",(active after 1639 in Leiden),Interior view,Photo,"Marekerk, Leiden",http://www.wga.hu/art/zzzarchi/17c/6/03d_1601.jpg,architecture,interior,Dutch,1601-1650,,
"ARCHITECT, Flemish",(active 1650-1666 in Leuven),Exterior view,Photo,"Sint-Michielskerk, Leuven",http://www.wga.hu/art/zzzarchi/17c/6/05f_1651.jpg,architecture,other,Flemish,1651-1700,,
"ARCHITECT, Flemish",(active 1650-1666 in Leuven),Exterior view,Photo,"Sint-Michielskerk, Leuven",http://www.wga.hu/art/zzzarchi/17c/6/05f_1652.jpg,architecture,other,Flemish,1651-1700,,
"ARCHITECT, Flemish",(active around 1700 in Brussels),Exterior view,Photo,"Grande Place, Brussels",http://www.wga.hu/art/zzzarchi/17c/6/05f_1653.jpg,architecture,other,Flemish,1651-1700,,
"ARCHITECT, French",(active after 1646 in Paris),Interior view,Photo,"Saint-Sulpice, Paris",http://www.wga.hu/art/zzzarchi/17c/2/01f_1601.jpg,architecture,interior,French,1601-1650,,
"ARCHITECT, French",(active 1700-1740 in Paris),Exterior view,Photo,"Hôtel de Soubise, Paris",http://www.wga.hu/art/zzzarchi/18c/2/01f_1701.jpg,architecture,other,French,1701-1750,,
"ARCHITECT, French",(active 1710s in Nancy),Exterior view,Photo,"Palais de Gouvernement, Nancy",http://www.wga.hu/art/zzzarchi/18c/2/02f_1701.jpg,architecture,other,French,1701-1750,,
"ARCHITECT, French",(active 1710s in Nancy),Exterior view,Photo,"Palais de Gouvernement, Nancy",http://www.wga.hu/art/zzzarchi/18c/2/02f_1702.jpg,architecture,other,French,1701-1750,,
"ARCHITECT, French",(active 1752 in Nancy),Exterior view,Photo,"Place Royale, Nancy",http://www.wga.hu/art/zzzarchi/18c/2/02f_1703.jpg,architecture,other,French,1701-1750,,
"ARCHITECT, French",(active 18th century in Paris),Exterior view,Photo,"Saint-Sulpice, Paris",http://www.wga.hu/art/zzzarchi/18c/2/03f_1701.jpg,architecture,other,French,1701-1750,,
"ARCHITECT, French",(active 1700-1740 in Paris),Interior view,Photo,"Hôtel de Soubise, Paris",http://www.wga.hu/art/zzzarchi/18c/2/04f_1701.jpg,architecture,interior,French,1701-1750,,
"ARCHITECT, German",(active after 1583 in Bavaria),Exterior view,Photo,"St. Michael's, Munich",http://www.wga.hu/art/zzzarchi/16c/1/04g_1501.jpg,architecture,other,German,1551-1600,,
"ARCHITECT, German",(active after 1583 in Bavaria),Interior view,Photo,"St. Michael's, Munich",http://www.wga.hu/art/zzzarchi/16c/1/04g_1502.jpg,architecture,interior,German,1551-1600,,
"ARCHITECT, German",(active after 1583 in Bavaria),Interior view,Photo,"St. Michael's, Munich",http://www.wga.hu/art/zzzarchi/16c/1/04g_1503.jpg,architecture,interior,German,1551-1600,,
"ARCHITECT, German",(active early 17th century in Lower Saxony),Exterior view,Photo,"Bückeburg Palace, Bückeburg",http://www.wga.hu/art/zzzarchi/17c/1/01g_1601.jpg,architecture,other,German,1601-1650,,
"ARCHITECT, German",(active early 17th century in Lower Saxony),Exterior view,Photo,"Bückeburg Palace, Bückeburg",http://www.wga.hu/art/zzzarchi/17c/1/01g_1602.jpg,architecture,other,German,1601-1650,,
"ARCHITECT, German",(active around 1610 in Mosbach),Exterior view,Photo,"Palmsche Haus, Mosbach (Baden-Württemberg)",http://www.wga.hu/art/zzzarchi/17c/1/02g_1601.jpg,architecture,other,German,1601-1650,,
"ARCHITECT, German",(active 17th century in Württenberg),Exterior view,Photo,"Schwedenhaus, Altingen, near Herrenberg (Baden-Württemberg)",http://www.wga.hu/art/zzzarchi/17c/1/02g_1602.jpg,architecture,other,German,1651-1700,,
"ARCHITECT, German",(active 1690s in Hesse),Exterior view,Photo,"Fachwerkkirche, Stumpertenrod (Hesse)",http://www.wga.hu/art/zzzarchi/17c/1/03g_1651.jpg,architecture,other,German,1651-1700,,
"ARCHITECT, German",(active 1690s in Hesse),Exterior view,Photo,"Fachwerkkirche, Stumpertenrod (Hesse)",http://www.wga.hu/art/zzzarchi/17c/1/03g_1652.jpg,architecture,other,German,1651-1700,,
"ARCHITECT, German",(active 1690s in Hesse),Exterior view,Photo,"Evangelical church, Büssfeld (Hesse)",http://www.wga.hu/art/zzzarchi/17c/1/04g_1651.jpg,architecture,other,German,1651-1700,,
"ARCHITECT, German",(active 1690s in Hesse),Exterior view,Photo,"Evangelical church, Büssfeld (Hesse)",http://www.wga.hu/art/zzzarchi/17c/1/04g_1652.jpg,architecture,other,German,1651-1700,,
